categorie,opus,fichier,notre_titre,titre_nba
a_verifier,BWV 122/6,Es_bringt_das_rechte_Jubeljahr_(BWV_122_6)_Jean_Sébastien_Bach_layout.ly,Es bringt das rechte Jubeljahr,Das neugeborne Kindelein
a_verifier,BWV 311,Es_woll_uns_Gott_gnädig_sein_(I)_(BWV_311)_Jean_Sébastien_Bach_layout.ly,Es woll uns Gott gnädig sein (I),Es woll uns Gott genädig sein
a_verifier,BWV 312,Es_woll_uns_Gott_gnädig_sein_(II)_(BWV_312)_Jean_Sébastien_Bach_layout.ly,Es woll uns Gott gnädig sein (II),Es woll uns Gott genädig sein
a_verifier,BWV 313,Für_Freuden_lasst_uns_springen_(BWV_313)_Jean_Sébastien_Bach_layout.ly,Für Freuden lasst uns springen,Vor Freuden lasst uns springen
a_verifier,BWV 314,"Gelobt_seist_du,_Jesu_Christ_(BWV_314)_Jean_Sébastien_Bach_layout.ly","Gelobt seist du, Jesu Christ","Gelobet seist du, Jesu Christ"
a_verifier,BWV 325,"Heilig,_heilig_(BWV_325)_Jean_Sébastien_Bach_layout.ly","Heilig, heilig","Heilig, heilig [German Sanctus]"
a_verifier,BWV 338,"Herr,_straf_mich_nicht_in_deinem_Zorn_(BWV_338)_Jean_Sébastien_Bach_layout.ly","Herr, straf mich nicht in deinem Zorn","Herr, straf mich nicht in deinem Zorn (paraph. of Ps.38)"
a_verifier,BWV 328,"Herr_Gott,_dich_loben_wir_(BWV_328)_Jean_Sébastien_Bach_layout.ly","Herr Gott, dich loben wir","Herr Gott, dich loben wir [German Te Deum]"
a_verifier,BWV 333,"Herr_Jesu_Christ,_du_hast_bereit'_(BWV_333)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, du hast bereit'","Herr Jesu Christ, du hast bereitt"
a_verifier,BWV 334,"Herr_Jesu_Christ,_ich_schrei_zu_dir_(BWV_334)_Jean_Sébastien_Bach_layout.ly","Herr Jesu Christ, ich schrei zu dir","Herr Jesu Christ, du höchstes Gut"
a_verifier,BWV 244/46,Herzliebster_Jesu_(BWV_244_46)_Jean_Sébastien_Bach_layout.ly,Herzliebster Jesu,"Herzliebster Jesu, was hast du verbrochen"
a_verifier,BWV 245/17,Herzliebster_Jesu_(vv._8–9)_(BWV_245_17)_Jean_Sébastien_Bach_layout.ly,Herzliebster Jesu,"Herzliebster Jesu, was hast du verbrochen"
a_verifier,BWV 248/42,"Hilf,_Herr_Jesu,_laß_gelingen_(BWV_248_42)_Jean_Sébastien_Bach_layout.ly","Hilf, Herr Jesu, laß gelingen","Hilf, Herr Jesu, lass gelingen"
a_verifier,BWV 346,"Ich_dank_dir,_Gott,_für_deine_Wohltat_(BWV_346)_Jean_Sébastien_Bach_layout.ly","Ich dank dir, Gott, für deine Wohltat",Ich dank dir Gott für all Wohltat
a_verifier,BWV 349,Ich_dank_dir_schon_durch_deinen_Sohn_(BWV_349)_Jean_Sébastien_Bach_layout.ly,Ich dank dir schon durch deinen Sohn,Ich dank dir schon deinen Sohn
a_verifier,BWV 350,"Ich_danke_dir,_Herr_Gott,_in_deinem_Throne_(BWV_350)_Jean_Sébastien_Bach_layout.ly","Ich danke dir, Herr Gott, in deinem Throne","Ich danke dir, o Gott in deinem Throne"
a_verifier,BWV 1124,"Ich_ruf_zu_dir,_Herr_Jesu_Christ_(BWV_1124)_Jean_Sébastien_Bach_layout.ly","Ich ruf zu dir, Herr Jesu Christ",ZZZ
a_verifier,BWV 367,In_allen_meinen_Taten_(choral)_(BWV_367)_Jean_Sébastien_Bach_layout.ly,In allen meinen Taten (choral),In allen meinen Taten
a_verifier,BWV 363,"Jesus_Christus,_unser_Heiland_(I)_(BWV_363)_Jean_Sébastien_Bach_layout.ly","Jesus Christus, unser Heiland (I)","Jesus Christus, unser Heiland, der von uns"
a_verifier,BWV 39/7,"Kommt,_laßt_euch_den_Herren_lehren_(BWV_39_7)_Jean_Sébastien_Bach_layout.ly","Kommt, laßt euch den Herren lehren","Kommt, lasst euch den Herren lehren"
a_verifier,BWV 248/35,Lasst_Furcht_und_Pein_(BWV_248_35)_Jean_Sébastien_Bach_layout.ly,Laßt Furcht und Pein,Lasst Furcht und Pein
a_verifier,BWV 373,"Liebster_Jesu,_wir_sind_hier_(choral)_(BWV_373)_Jean_Sébastien_Bach_layout.ly","Liebster Jesu, wir sind hier (choral)","Liebster Jesu, wir sind hier"
a_verifier,BWV 1126,"Lobet_Gott,_unsern_Herren_(BWV_1126)_Jean_Sébastien_Bach_layout.ly","Lobet Gott, unsern Herren",ZZZ
a_verifier,BWV 378,Mein_Augen_schließ_ich_jetzt_in_Gottes_Namen_zu_(BWV_378)_Jean_Sébastien_Bach_layout.ly,Mein Augen schließ ich jetzt in Gottes Namen zu,Mein Augen schließ ich jetzt
a_verifier,BWV 324,Meine_Seele_erhebet_den_Herren_(BWV_324)_Jean_Sébastien_Bach_layout.ly,Meine Seele erhebet den Herren,Meine Seel erhebt den Herren [The German Magnificat]
a_verifier,BWV 10/7,Meine_Seele_erhebt_den_Herren_(doxology)_(BWV_10_7)_Jean_Sébastien_Bach_layout.ly,Meine Seele erhebt den Herren (doxologie),Meine Seel erhebt den Herren [The German Magnificat]
a_verifier,BWV 154/8,Meinen_Jesum_laß_ich_nicht_(BWV_154_8)_Jean_Sébastien_Bach_layout.ly,Meinen Jesum laß ich nicht,Meinen Jesum lass ich nicht
a_verifier,BWV 70/11,Meinen_Jesum_laß_ich_nicht_(BWV_70_11)_Jean_Sébastien_Bach_layout.ly,Meinen Jesum laß ich nicht,Meinen Jesum lass ich nicht
a_verifier,BWV 379,Meinen_Jesum_laß_ich_nicht_(I)_(BWV_379)_Jean_Sébastien_Bach_layout.ly,Meinen Jesum laß ich nicht (I),Meinen Jesum lass ich nicht
a_verifier,BWV 380,Meinen_Jesum_laß_ich_nicht_(II)_(BWV_380)_Jean_Sébastien_Bach_layout.ly,Meinen Jesum laß ich nicht (II),Meinen Jesum lass ich nicht
a_verifier,BWV 382,Mit_Fried_und_Freud_ich_fahr_dahin_(choral)_(BWV_382)_Jean_Sébastien_Bach_layout.ly,Mit Fried und Freud ich fahr dahin (choral),Mit Fried und Freud ich fahr dahin
a_verifier,BWV 386,Nun_danket_alle_Gott_(choral)_(BWV_386)_Jean_Sébastien_Bach_layout.ly,Nun danket alle Gott (choral),Nun danket alle Gott
a_verifier,BWV 397,"O_Ewigkeit,_du_Donnerwort_(choral)_(BWV_397)_Jean_Sébastien_Bach_layout.ly","O Ewigkeit, du Donnerwort (choral)","O Ewigkeit, du Donnerwort"
a_verifier,BWV 1125,"O_Gott,_du_frommer_Gott_(BWV_1125)_Jean_Sébastien_Bach_layout.ly","O Gott, du frommer Gott",ZZZ
a_verifier,BWV 400,O_Herzensangst_(BWV_400)_Jean_Sébastien_Bach_layout.ly,O Herzensangst,"O Herzensangst, o Bangigkeit"
a_verifier,BWV 401,"O_Lamm_Gottes,_unschuldig_(choral)_(BWV_401)_Jean_Sébastien_Bach_layout.ly","O Lamm Gottes, unschuldig (choral)","O Lamm Gottes, unschuldig"
a_verifier,BWV 57/8,"Richte_dich,_Liebste,_nach_meinem_Gefallen_(BWV_57_8)_Jean_Sébastien_Bach_layout.ly","Richte dich, Liebste, nach meinem Gefallen","Hast du denn, Jesu, dein Angesicht gänzlich verborgen"
a_verifier,BWV 409,Seelenbräutigam_(BWV_409)_Jean_Sébastien_Bach copie_layout.ly,Seelenbräutigam,"Seelenbräutigam, Jesu, Gottes Lamm"
a_verifier,BWV 25/6,"Treuer_Gott,_ich_muss_dir_klagen_(BWV_25_6)_Jean_Sébastien_Bach_layout.ly","Treuer Gott, ich muß dir klagen","Treuer Gott, ich muss dir klagen"
a_verifier,BWV 415,Valet_will_ich_dir_geben_(choral)_(BWV_415)_Jean_Sébastien_Bach_layout.ly,Valet will ich dir geben (choral),Valet will ich dir geben
a_verifier,BWV 126/6,Verleih_uns_Frieden_gnädlich_(complete)_(BWV_126_6)_Jean_Sébastien_Bach_layout.ly,Verleih uns Frieden gnädlich,Verleih uns Frieden gnädiglich
a_verifier,BWV 42/7,Verleih_uns_Frieden_gnädlich_(complete)_(BWV_42_7)_Jean_Sébastien_Bach_layout.ly,Verleih uns Frieden gnädlich,Verleih uns Frieden gnädiglich
a_verifier,BWV 423,"Was_betrübst_du_dich,_mein_Herze_(BWV_423)_Jean_Sébastien_Bach_layout.ly","Was betrübst du dich, mein Herze","Was betrübst du dich, mein Herz"
a_verifier,BWV 144/6,"Was_mein_Gott_will,_das_g'scheh_allzeit_(BWV_144_6)_Jean_Sébastien_Bach_layout.ly","Was mein Gott will, das g'scheh allzeit","Was mein will, das gscheh allzeit"
a_verifier,BWV 244/25,"Was_mein_Gott_will,_das_g'scheh_allzeit_(BWV_244_25)_Jean_Sébastien_Bach_layout.ly","Was mein Gott will, das g'scheh allzeit","Was mein will, das gscheh allzeit"
a_verifier,BWV 77/6,Wenn_einer_alle_Ding_verstünd_(v._8)?_(BWV_77_6)_Jean_Sébastien_Bach_layout.ly,"Wenn einer alle Ding verstünd / O Gottes Sohn, Herr Jesu Christ","O Gottes Sohn, Herr Jesu Christ"
a_verifier,BWV 430,Wenn_mein_Stündlein_verhanden_ist_(III)_(BWV_430)_Jean_Sébastien_Bach_layout.ly,Wenn mein Stündlein verhanden ist (III),Wenn mein Stündlein vorhanden ist
a_verifier,BWV 339,Wer_in_dem_Schutz_des_Höchsten_ist_(BWV_339)_Jean_Sébastien_Bach_layout.ly,Wer in dem Schutz des Höchsten ist,"Herr, wie du willst, so schicks mit mir"
a_verifier,BWV 197/10,Wer_nur_den_lieben_Gott_läßt_walten_(BWV_197_10)_Jean_Sébastien_Bach_layout.ly,Wer nur den lieben Gott läßt walten,Wer nur den lieben Gott lässt walten
a_verifier,BWV 434,Wer_nur_den_lieben_Gott_läßt_walten_(BWV_434)_Jean_Sébastien_Bach_layout.ly,Wer nur den lieben Gott läßt walten,Wer nur den lieben Gott lässt walten
a_verifier,BWV 88/7,Wer_nur_den_lieben_Gott_läßt_walten_(BWV_88_7)_Jean_Sébastien_Bach_layout.ly,Wer nur den lieben Gott läßt walten,Wer nur den lieben Gott lässt walten
a_verifier,BWV 166/6,"Wer_weiß,_wie_nahe_mir_mein_Ende_(BWV_166_6)_Jean_Sébastien_Bach_layout.ly","Wer weiß, wie nahe mir mein Ende","Wer weiss, wie nahe mir mein Ende"
a_verifier,BWV 84/5,"Wer_weiß,_wie_nahe_mir_mein_Ende_(BWV_84_5)_Jean_Sébastien_Bach_layout.ly","Wer weiß, wie nahe mir mein Ende","Wer weiss, wie nahe mir mein Ende"
a_verifier,BWV 436,Wie_schön_leuchtet_der_Morgenstern_(choral)_(BWV_436)_Jean_Sébastien_Bach_layout.ly,Wie schön leuchtet der Morgenstern (choral),Wie schön leuchtet der Morgenstern
a_verifier,BWV 1123,Wo_Gott_zum_Haus_nicht_gibt_sein_Gunst_(BWV_1123)_Jean_Sébastien_Bach_layout.ly,Wo Gott zum Haus nicht gibt sein Gunst,ZZZ
a_verifier,BWV 148/6,Wo_soll_ich_fliehen_hin_(BWV_148_6)_Jean_Sébastien_Bach_layout.ly,Wo soll ich fliehen hin,Auf meinen lieben Gott (5?)
pas_de_donnee_nba,BWV 261,"Allein_zu_dir,_Herr_Jesu_Christ_(BWV_261)_Jean_Sébastien_Bach_layout.ly","Allein zu dir, Herr Jesu Christ",
pas_de_donnee_nba,BWV 245/3a,"Herzliebster_Jesu,_was_hast_du_verbrochen_(BWV_245_3a)_Jean_Sébastien_Bach_layout.ly","Herzliebster Jesu, was hast du verbrochen",
pas_de_donnee_nba,BWV 245/3b,"Herzliebster_Jesu,_was_hast_du_verbrochen_(BWV_245_3b)_Jean_Sébastien_Bach_layout.ly","Herzliebster Jesu, was hast du verbrochen",
pas_de_donnee_nba,BWV 244/3,Herzliebster_Jesu_(BWV_244_3)_Jean_Sébastien_Bach_layout.ly,Herzliebster Jesu,
pas_de_donnee_nba,BWV 64/8,"Jesu,_meine_Freude_(BWV_64_8)_Jean_Sébastien_Bach_layout.ly","Jesu, meine Freude",
pas_de_donnee_nba,BWV 227/1,"Jesu,_meine_Freude_(vv._1,_6)_(BWV_227_1)_Jean_Sébastien_Bach_layout.ly","Jesu, meine Freude",
pas_de_donnee_nba,BWV 197/5,Nun_bitten_wir_den_Heiligen_Geist_(BWV_197_5)_Jean_Sébastien_Bach_layout.ly,Nun bitten wir den Heiligen Geist,
pas_de_donnee_nba,BWV 20/7-11,"O_Ewigkeit,_du_Donnerwort_(vv._11,_16)_(BWV_20_7_11)_Jean_Sébastien_Bach_layout.ly","O Ewigkeit, du Donnerwort",
pas_de_donnee_nba,pas de BWV attribué,"O_Traurigkeit,_o_Herzeleid!_(pas _de_BWV_attribué)_Jean_Sébastien_Bach_layout.ly","O Traurigkeit, o Herzeleid!",
pas_de_donnee_nba,BWV 117/4,Sei_Lob_und_Ehr_dem_höchsten_Gut_(BWV_117_4_9)_Jean_Sébastien_Bach_layout.ly,Sei Lob und Ehr dem höchsten Gut,
pas_de_donnee_nba,BWV 194/6,"Treuer_Gott,_ich_muss_dir_klagen_(BWV_194_6)_Jean_Sébastien_Bach_layout.ly","Treuer Gott, ich muss dir klagen",
pas_de_donnee_nba,BWV 245/5a,Vater_unser_im_Himmelreich_(BWV_245_5a)_Jean_Sébastien_Bach_layout.ly,Vater unser im Himmelreich (1ère version),
pas_de_donnee_nba,BWV 245/5b,Vater_unser_im_Himmelreich_(BWV_245_5b)_Jean_Sébastien_Bach_layout.ly,Vater unser im Himmelreich (2ème version),
pas_de_donnee_nba,BWV 248/9,"Vom_Himmel_hoch,_da_komm_ich_her_(BWV_248_9)_Jean_Sébastien_Bach_layout.ly",Vom Himmel hoch da komm ich her,
pas_de_donnee_nba,BWV 94/8,Was_frag_ich_nach_der_Welt_(vv._7–8)_(BWV_94_8)_Jean_Sébastien_Bach_layout.ly,Was frag ich nach der Welt,
pas_de_donnee_nba,BWV 248/5,Wie_soll_ich_dich_empfangen_(BWV_248_5)_Jean_Sébastien_Bach_layout.ly,Wie soll ich dich empfangen,
roman_suffix_ok,BWV 270,Befiehl_du_deine_Wege_(I)_(BWV_270)_Jean_Sébastien_Bach_layout.ly,Befiehl du deine Wege (I),Befiehl du deine Wege
roman_suffix_ok,BWV 271,Befiehl_du_deine_Wege_(II)_(BWV_271)_Jean_Sébastien_Bach_layout.ly,Befiehl du deine Wege (II),Befiehl du deine Wege
roman_suffix_ok,BWV 272,Befiehl_du_deine_Wege_(III)_(BWV_272)_Jean_Sébastien_Bach_layout.ly,Befiehl du deine Wege (III),Befiehl du deine Wege
roman_suffix_ok,BWV 278,Christ_lag_in_Todesbanden_(II)_(BWV_278)_Jean_Sébastien_Bach_layout.ly,Christ lag in Todesbanden (II),Christ lag in Todesbanden
roman_suffix_ok,BWV 279,Christ_lag_in_Todesbanden_(III)_(BWV_279)_Jean_Sébastien_Bach_layout.ly,Christ lag in Todesbanden (III),Christ lag in Todesbanden
roman_suffix_ok,BWV 282,"Christus,_der_ist_mein_Leben_(II)_(BWV_282)_Jean_Sébastien_Bach_layout.ly","Christus, der ist mein Leben (II)","Christus, der ist mein Leben"
roman_suffix_ok,BWV 288,Das_alte_Jahr_vergangen_ist_(I)_(BWV_288)_Jean_Sébastien_Bach_layout.ly,Das alte Jahr vergangen ist (I),Das alte Jahr vergangen ist
roman_suffix_ok,BWV 289,Das_alte_Jahr_vergangen_ist_(II)_(BWV_289)_Jean_Sébastien_Bach_layout.ly,Das alte Jahr vergangen ist (II),Das alte Jahr vergangen ist
roman_suffix_ok,BWV 302,Ein_feste_Burg_ist_unser_Gott_(I)_(BWV_302)_Jean_Sébastien_Bach_layout.ly,Ein feste Burg ist unser Gott (I),Ein feste Burg ist unser Gott
roman_suffix_ok,BWV 303,Ein_feste_Burg_ist_unser_Gott_(II)_(BWV_303)_Jean_Sébastien_Bach_layout.ly,Ein feste Burg ist unser Gott (II),Ein feste Burg ist unser Gott
roman_suffix_ok,BWV 330,"Herr,_ich_habe_missgehandelt_(I)_(BWV_330)_Jean_Sébastien_Bach_layout.ly","Herr, ich habe missgehandelt (I)","Herr, ich habe missgehandelt"
roman_suffix_ok,BWV 331,"Herr,_ich_habe_missgehandelt_(II)_(BWV_331)_Jean_Sébastien_Bach_layout.ly","Herr, ich habe missgehandelt (II)","Herr, ich habe missgehandelt"
roman_suffix_ok,BWV 326,"Herr_Gott,_dich_loben_alle_wir_(I)_(BWV_326)_Jean_Sébastien_Bach_layout.ly","Herr Gott, dich loben alle wir (I)","Herr Gott, dich loben alle wir"
roman_suffix_ok,BWV 347,"Ich_dank_dir,_lieber_Herre_(I)_(BWV_347)_Jean_Sébastien_Bach_layout.ly","Ich dank dir, lieber Herre (I)","Ich dank dir, lieber Herre"
roman_suffix_ok,BWV 348,"Ich_dank_dir,_lieber_Herre_(II)_(BWV_348)_Jean_Sébastien_Bach_layout.ly","Ich dank dir, lieber Herre (II)","Ich dank dir, lieber Herre"
roman_suffix_ok,BWV 357,"Jesu,_Jesu,_du_bist_mein_(I)_(BWV_357)_Jean_Sébastien_Bach_layout.ly","Jesu, Jesu, du bist mein (I)","Jesu, Jesu, du bist mein"
roman_suffix_ok,BWV 352,"Jesu,_der_du_meine_Seele_(I)_(BWV_352)_Jean_Sébastien_Bach_layout.ly","Jesu, der du meine Seele (I)","Jesu, der du meine Seele"
roman_suffix_ok,BWV 353,"Jesu,_der_du_meine_Seele_(II)_(BWV_353)_Jean_Sébastien_Bach_layout.ly","Jesu, der du meine Seele (II)","Jesu, der du meine Seele"
roman_suffix_ok,BWV 354,"Jesu,_der_du_meine_Seele_(III)_(BWV_354)_Jean_Sébastien_Bach_layout.ly","Jesu, der du meine Seele (III)","Jesu, der du meine Seele"
roman_suffix_ok,BWV 358,"Jesu,_meine_Freude_(I)_(BWV_358)_Jean_Sébastien_Bach_layout.ly","Jesu, meine Freude (I)","Jesu, meine Freude"
roman_suffix_ok,BWV 359,"Jesu,_meiner_Seelen_Wonne_(I)_(BWV_359)_Jean_Sébastien_Bach_layout.ly","Jesu, meiner Seelen Wonne (I)","Jesu, meiner Seelen Wonne"
roman_suffix_ok,BWV 360,"Jesu,_meiner_Seelen_Wonne_(II)_(BWV_360)_Jean_Sébastien_Bach_layout.ly","Jesu, meiner Seelen Wonne (II)","Jesu, meiner Seelen Wonne"
roman_suffix_ok,BWV 375,"Lobt_Gott,_ihr_Christen,_allzugleich_(I)_(BWV_375)_Jean_Sébastien_Bach_layout.ly","Lobt Gott, ihr Christen, allzugleich (I)","Lobt Gott, ihr Christen, allzugleich"
roman_suffix_ok,BWV 376,"Lobt_Gott,_ihr_Christen,_allzugleich_(II)_(BWV_376)_Jean_Sébastien_Bach_layout.ly","Lobt Gott, ihr Christen, allzugleich (II)","Lobt Gott, ihr Christen, allzugleich"
roman_suffix_ok,BWV 389,"Nun_lob,_mein_Seel,_den_Herren_(I)_(BWV_389)_Jean_Sébastien_Bach_layout.ly","Nun lob, mein Seel, den Herren (I)","Nun lob, mein Seel, den Herren"
roman_suffix_ok,BWV 390,"Nun_lob,_mein_Seel,_den_Herren_(II)_(BWV_390)_Jean_Sébastien_Bach_layout.ly","Nun lob, mein Seel, den Herren (II)","Nun lob, mein Seel, den Herren"
roman_suffix_ok,BWV 398,"O_Gott,_du_frommer_Gott_(I)_(BWV_398)_Jean_Sébastien_Bach_layout.ly","O Gott, du frommer Gott (I)","O Gott, du frommer Gott"
roman_suffix_ok,BWV 399,"O_Gott,_du_frommer_Gott_(II)_(BWV_399)_Jean_Sébastien_Bach_layout.ly","O Gott, du frommer Gott (II)","O Gott, du frommer Gott"
roman_suffix_ok,BWV 393,"O_Welt,_sieh_hier_dein_Leben_(I)_(BWV_393)_Jean_Sébastien_Bach_layout.ly","O Welt, sieh hier dein Leben (I)","O Welt, sieh hier dein Leben"
roman_suffix_ok,BWV 394,"O_Welt,_sieh_hier_dein_Leben_(II)_(BWV_394)_Jean_Sébastien_Bach_layout.ly","O Welt, sieh hier dein Leben (II)","O Welt, sieh hier dein Leben"
roman_suffix_ok,BWV 395,"O_Welt,_sieh_hier_dein_Leben_(III)_(BWV_395)_Jean_Sébastien_Bach_layout.ly","O Welt, sieh hier dein Leben (III)","O Welt, sieh hier dein Leben"
roman_suffix_ok,BWV 405,"O_wie_selig_seid_ihr_doch,_ihr_Frommen_(I)_(BWV_405)_Jean_Sébastien_Bach_layout.ly","O wie selig seid ihr doch, ihr Frommen (I)","O wie selig seid ihr doch, ihr Frommen"
roman_suffix_ok,BWV 406,"O_wie_selig_seid_ihr_doch,_ihr_Frommen_(II)_(BWV_406)_Jean_Sébastien_Bach_layout.ly","O wie selig seid ihr doch, ihr Frommen (II)","O wie selig seid ihr doch, ihr Frommen"
roman_suffix_ok,BWV 417,Von_Gott_will_ich_nicht_lassen_(I)_(BWV_417)_Jean_Sébastien_Bach_layout.ly,Von Gott will ich nicht lassen (I),Von Gott will ich nicht lassen
roman_suffix_ok,BWV 418,Von_Gott_will_ich_nicht_lassen_(II)_(BWV_418)_Jean_Sébastien_Bach_layout.ly,Von Gott will ich nicht lassen (II),Von Gott will ich nicht lassen
roman_suffix_ok,BWV 420,"Warum_betrübst_du_dich,_mein_Herz_(I)_(BWV_420)_Jean_Sébastien_Bach_layout.ly","Warum betrübst du dich, mein Herz (I)","Warum betrübst du dich, mein Herz"
roman_suffix_ok,BWV 421,"Warum_betrübst_du_dich,_mein_Herz_(II)_(BWV_421)_Jean_Sébastien_Bach_layout.ly","Warum betrübst du dich, mein Herz (II)","Warum betrübst du dich, mein Herz"
roman_suffix_ok,BWV 428,Wenn_mein_Stündlein_vorhanden_ist_(I)_(BWV_428)_Jean_Sébastien_Bach_layout.ly,Wenn mein Stündlein vorhanden ist (I),Wenn mein Stündlein vorhanden ist
roman_suffix_ok,BWV 429,Wenn_mein_Stündlein_vorhanden_ist_(II)_(BWV_429)_Jean_Sébastien_Bach_layout.ly,Wenn mein Stündlein vorhanden ist (II),Wenn mein Stündlein vorhanden ist
roman_suffix_ok,BWV 431,Wenn_wir_in_höchsten_Nöten_sein_(I)_(BWV_431)_Jean_Sébastien_Bach_layout.ly,Wenn wir in höchsten Nöten sein (I),Wenn wir in höchsten Nöten sein
roman_suffix_ok,BWV 432,Wenn_wir_in_höchsten_Nöten_sein_(II)_(BWV_432)_Jean_Sébastien_Bach_layout.ly,Wenn wir in höchsten Nöten sein (II),Wenn wir in höchsten Nöten sein
exact,BWV 259,"Ach,_was_soll_ich_Sünder_machen_(BWV_259)_Jean_Sébastien_Bach_layout.ly","Ach, was soll ich Sünder machen","Ach, was soll ich Sünder machen"
exact,BWV 254,"Ach_Gott,_erhör_mein_Seufzen_(BWV_254)_Jean_Sébastien_Bach_layout.ly","Ach Gott, erhör mein Seufzen und Wehklagen","Ach Gott, erhör mein Seufzen und Wehklagen"
exact,BWV 2/6,"Ach_Gott,_vom_Himmel_sieh_darein_(BWV_2_6)_Jean_Sébastien_Bach_layout.ly","Ach Gott, vom Himmel sieh darein","Ach Gott, vom Himmel sieh darein"
exact,BWV 153/9,"Ach_Gott,_wie_manches_Herzeleid_(BWV_153_9)_Jean_Sébastien_Bach_layout.ly","Ach Gott, wie manches Herzeleid","Ach Gott, wie manches Herzeleid"
exact,BWV 3/6,"Ach_Gott,_wie_manches_Herzeleid_(BWV_3_6)_Jean_Sébastien_Bach_layout.ly","Ach Gott, wie manches Herzeleid","Ach Gott, wie manches Herzeleid"
exact,BWV 255,Ach_Gott_und_Herr_(BWV_255)_Jean_Sébastien_Bach_layout.ly,Ach Gott und Herr,Ach Gott und Herr
exact,BWV 48/3,Ach_Gott_und_Herr_(BWV_48_3)_Jean_Sébastien_Bach_layout.ly,Ach Gott und Herr,Ach Gott und Herr
exact,BWV 253,"Ach_bleib_bei_uns,_Herr_Jesu_Christ_(BWV_253)_Jean_Sébastien_Bach_layout.ly","Ach bleib bei uns, Herr Jesu Christ","Ach bleib bei uns, Herr Jesu Christ"
exact,BWV 114/7,"Ach_lieben_Christen,_seid_getrost_(BWV_114_7)_Jean_Sébastien_Bach_layout.ly","Ach, lieben Christen, seid getrost","Ach, lieben Christen, seid getrost"
exact,BWV 256,Ach_lieben_Christen_seid_getrost_(BWV_256)_Jean_Sébastien_Bach_layout.ly,"Ach, lieben Christen, seid getrost","Ach, lieben Christen, seid getrost"
exact,BWV 26/6,"Ach_wie_flüchtig,_ach_wie_nichtig_(BWV_26_6)_Jean_Sébastien_Bach_layout.ly","Ach wie flüchtig, ach wie nichtig","Ach wie flüchtig, ach wie nichtig"
