BWV,Titre,Tonalite_ecrite_fichier,Tonalite_detectee_analyse,Score_adequation,Cadence_finale,Tierce_picarde,Reference_bach-chorales.com,Modal_reference,Commentaire_reference,A_verifier
BWV 40/6,Schwing dich auf zu deinem Gott,D mineur,D mineur,0.96,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 40/8,"Freuet euch, ihr Christen alle",C mineur,F mineur,0.969,tonic-ending,oui,F minor,Dorian,"F Dorian key signature. Bach adds D–flats, converting it to minor.",armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 41/6,"Jesu, nun sei gepreiset (I)",C majeur,C majeur,0.933,tonic-ending,,C major,,,
BWV 42/7,Verleih uns Frieden gnädlich (I),F# mineur,F# mineur,0.994,tonic-ending,oui,F# minor,,,tierce picarde finale
BWV 43/11,"Du Lebensfürst, Herr Jesu Christ (II)",G majeur,G majeur,0.954,tonic-ending,,G major,,"Bach’s setting is taken directly from the NLGB, though transposed from F to G.",
BWV 44/7,In allen meinen Taten (II),Bb majeur,Bb majeur,0.966,tonic-ending,,Bb major,,,
BWV 45/7,"O Gott, du frommer Gott (II)",E majeur,E majeur,0.975,tonic-ending,,E major,,,
BWV 46/6,O großer Gott von Macht,F majeur,G mineur,0.971,dominant-ending,,G minor,,,armure/tonalite ecrite != detectee; accord final = dominante
BWV 47/5,"Warum betrübst du dich, mein Herz (I)",G mineur,G mineur,0.939,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 48/3,Ach Gott und Herr (I),Bb majeur,Bb majeur,0.869,tonic-ending,,Bb major,,,fit modere (0.869)
BWV 48/7,"Herr Jesu Christ, ich schrei zu dir (I)",G mineur,G mineur,0.99,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 55/5,Werde munter mein Gemüte (I),Bb majeur,Bb majeur,0.967,tonic-ending,,Bb major,,NLGB setting uses a G Mixolydian key signature.,
BWV 56/5,"Du, o schönes Weltgebäude (I)",G mineur,C mineur,0.966,tonic-ending,oui,C minor,Dorian,C Dorian key signature. G minor is emphasized in the Aufgesang.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 57/8,"Hast du denn, Jesu, dein Angesicht gänzlich verborgen",Bb majeur,Bb majeur,0.98,tonic-ending,,Bb major,,,
BWV 60/5,Es ist genug,A majeur,A majeur,0.897,tonic-ending,,A major,,,fit modere (0.897)
BWV 62/6,"Nun komm, der Heiden Heiland (II)",B mineur,B mineur,0.973,tonic-ending,oui,B minor,,"This setting appears in the Breitkopf–Riemenschneider in A minor, a M2 lower.",tierce picarde finale
BWV 64/2,"Gelobet seist du, Jesu Christ (I)",A mineur,C majeur,0.927,dominant-ending,,G? major,Mixolydian?,Tonality is rather ambiguous here. Is the opening in C major or G major with a G Mixolydian key signature? BWV 91.6 features the same melody at the same pitch level but with a clear G major tonality and a 1-sharp key signature. NLGB setting uses a G Mixolydian signature.,armure/tonalite ecrite != detectee; accord final = dominante; modal (ref: Mixolydian?)
BWV 64/4,Was frag ich nach der Welt (I),D majeur,D majeur,0.956,tonic-ending,,D major,,,
BWV 64/8,"Jesu, meine Freude (I)",E mineur,E mineur,0.947,tonic-ending,oui,,,,tierce picarde finale
BWV 65/2,Ein Kind geborn zu Bethlehem,C majeur,A mineur,0.973,tonic-ending,oui,A minor,,,armure/tonalite ecrite != detectee; tierce picarde finale
BWV 65/7,Ich hab in Gottes Herz und Sinn,A mineur,A mineur,0.984,tonic-ending,oui,A minor,,"NLGB setting begins in E minor, ends in A minor.",tierce picarde finale
BWV 67/7,"Du Friedefürst, Herr Jesu Christ",A majeur,A majeur,0.985,tonic-ending,,A major,,"Bach sets this melody in major, while the NLGB setting is in the relative minor.",
BWV 69/6,Es woll uns Gott genädig sein (I),D majeur,D majeur,0.965,tonic-ending,,D major,,Chorale begins in B minor.,
BWV 70/11,Meinen Jesum lass ich nicht (I),C majeur,C majeur,0.951,tonic-ending,,C major,,,
BWV 73/5,Von Gott will ich nicht lassen (I),G mineur,C mineur,0.983,tonic-ending,oui,C minor,Dorian,"C Dorian key signature. This setting appears in the Breitkopf–Riemenschneider in A minor, a m3 lower.",armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 74/8,"Gott Vater, sende deinen Geist (I)",A mineur,A mineur,0.992,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 77/6,Wenn einer alle Ding verstünd,D mineur,G mineur,0.978,dominant-ending,,G minor,Dorian,G Dorian key signature. The opening of this chorale is tonally ambiguous. The A major pickup chord suggests D minor but is immediately followed by a perplexing “apparent” Bb augmented chord which becomes a second inversion G minor chord once the alto F# resolves.,armure/tonalite ecrite != detectee; accord final = dominante; modal (ref: Dorian)
BWV 78/7,"Jesu, der du meine Seele (I)",G mineur,G mineur,0.996,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 80/8,Ein feste Burg ist unser Gott (I),D majeur,D majeur,0.96,tonic-ending,,D major,,,
BWV 81/7,"Jesu, meine Freude (II)",E mineur,E mineur,0.974,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 83/5,Mit Fried und Freud ich fahr dahin (I),A mineur,D mineur,0.966,tonic-ending,oui,D minor,Dorian,D Dorian melody and key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 84/5,"Wer weiß, wie nahe mir mein Ende (I)",B mineur,B mineur,0.993,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 85/6,Ist Gott mein Schild und Helfersmann,G mineur,C mineur,0.986,tonic-ending,oui,C minor,Dorian,C Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 86/6,Es ist das Heil uns kommen her (II),E majeur,E majeur,0.935,tonic-ending,,E major,,,
BWV 87/7,Selig ist die Seele,A mineur,D mineur,0.982,tonic-ending,oui,D minor,Dorian,"D Dorian key signature. Of the seven chorale settings of this tune, only this one includes a Dorian key signature.",armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 88/7,Wer nur den lieben Gott lässt walten (I),B mineur,B mineur,0.988,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 89/6,Wo soll ich fliehen hin (II),G mineur,G mineur,0.995,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 90/5,"Nimm von uns, Herr, du treuer Gott (I)",D mineur,D mineur,0.966,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 91/6,"Gelobet seist du, Jesu Christ (II)",G majeur,G majeur,0.965,tonic-ending,,G major,,,
BWV 94/8,Was frag ich nach der Welt (II),D majeur,D majeur,0.962,tonic-ending,,,,,
BWV 96/6,"Herr Christ, der einge Gottessohn (I)",D mineur,F majeur,0.942,tonic-ending,,F major,,,armure/tonalite ecrite != detectee
BWV 101/7,"Nimm von uns, Herr, du treuer Gott (II)",D mineur,D mineur,0.966,tonic-ending,oui,D minor,,,tierce picarde finale
BWV 102/7,"So wahr ich lebe, spricht dein Gott",G mineur,C mineur,0.978,tonic-ending,oui,C minor,Dorian,C Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 103/6,"Barmherzger Vater, höchster Gott",B mineur,B mineur,0.996,tonic-ending,oui,B minor,,"NLGB setting begins in E minor, ends in A minor.",tierce picarde finale
BWV 104/6,Der Herr ist mein getreuer Hirt (I),A majeur,A majeur,0.965,tonic-ending,,A major,,"This setting appears in the Breitkopf–Riemenschneider in G major, a M2 lower.",
BWV 108/6,"Gott Vater, sende deinen Geist (II)",B mineur,B mineur,0.993,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 110/7,Wir Christenleut habn jetzund Freud (II),B mineur,B mineur,0.995,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 112/5,Der Herr ist mein getreuer Hirt (II),G majeur,G majeur,0.948,tonic-ending,,G major,,,
BWV 113/8,"Herr Jesu Christ, du höchstes Gut (I)",B mineur,B mineur,0.986,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 114/7,"Ach, lieben Christen, seid getrost (I)",G mineur,G mineur,0.995,tonic-ending,oui,G minor,,The NLGB setting begins in Bb major (Lydian) and ends in G minor (Dorian).,tierce picarde finale
BWV 115/6,"Mache dich, mein Geist, bereit",G majeur,G majeur,0.959,tonic-ending,,G major,,"This setting appears in the Breitkopf–Riemenschneider in Eb major, a M3 lower.",
BWV 117/4,Sei Lob und Ehr dem höchsten Gut (I),G majeur,G majeur,0.937,tonic-ending,,,,,
BWV 121/6,Christum wir sollen loben schon,B mineur,B mineur,0.942,dominant-ending,,B minor,,Tonally ambiguous. Chorale begins unambiguously in E minor (with what would be a Dorian key signature) and ends in B minor with tonally ambiguous passages throughout.,accord final = dominante
BWV 122/6,Das neugeborne Kindelein,G mineur,G mineur,0.968,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 123/6,"Liebster Immanuel, Herzog der Frommen",B mineur,B mineur,0.978,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 126/6,Verleih uns Frieden gnädlich (II),A mineur,A mineur,0.979,tonic-ending,oui,A minor,,"This setting appears in the Breitkopf–Riemenschneider in G minor, a M2 lower.",tierce picarde finale
BWV 127/5,"Herr Jesu Christ, wahr Mensch und Gott (I)",F majeur,F majeur,0.901,dominant-ending,,F major,,"Tonally ambiguous melody. This setting begins in F major and ends with a strongly tonicized C major. Likewise, the NLGB setting begins in C and ends with a tonicized G.",accord final = dominante
BWV 133/6,Ich freue mich in dir,D majeur,D majeur,0.949,tonic-ending,,D major,,,
BWV 136/6,Wo soll ich fliehen hin (III),B mineur,B mineur,0.995,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 140/7,"Wachet auf, ruft uns die Stimme",Eb majeur,Eb majeur,0.975,tonic-ending,,Eb major,,,
BWV 144/3,"Was Gott tut, das ist wohlgetan (II)",G majeur,G majeur,0.974,tonic-ending,,G major,,,
BWV 144/6,"Was mein Gott will, das g'scheh allzeit (I)",B mineur,B mineur,0.969,tonic-ending,oui,B minor,,"NLGB setting begins in E minor, ends in A minor.",tierce picarde finale
BWV 145/5,Erschienen ist der herrlich Tag,B mineur,F# mineur,0.966,tonic-ending,oui,F# minor,Phrygian,"F# Phrygian key signature. This setting appears in the Breitkopf–Riemenschneider in E minor, a M2 lower.",armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Phrygian)
BWV 148/6,Wo soll ich fliehen hin (IV),F# mineur,F# mineur,0.995,tonic-ending,oui,F# minor,,"This setting appears in the Breitkopf–Riemenschneider in F minor, a m2 lower.",tierce picarde finale
BWV 151/5,"Lobt Gott, ihr Christen, allzugleich (I)",G majeur,G majeur,0.982,tonic-ending,,G major,,,
BWV 153/1,"Schau, lieber Gott, wie meine Feind",E mineur,A mineur,0.964,dominant-ending,,A minor,Dorian,A Dorian key signature.,armure/tonalite ecrite != detectee; accord final = dominante; modal (ref: Dorian)
BWV 153/5,Befiehl du deine Wege (I),A mineur,A mineur,0.934,dominant-ending,,A minor,,,accord final = dominante
BWV 153/9,"Ach Gott, wie manches Herzeleid (II)",C majeur,C majeur,0.944,tonic-ending,,C major,,,
BWV 154/3,"Jesu, meiner Seelen Wonne (I)",A majeur,A majeur,0.981,tonic-ending,,,,,
BWV 154/8,Meinen Jesum lass ich nicht (II),D majeur,D majeur,0.975,tonic-ending,,D major,,,
BWV 155/5,Es ist das Heil uns kommen her (III),F majeur,F majeur,0.949,tonic-ending,,F major,,,
BWV 156/6,"Herr, wie du willst, so schicks mit mir",C majeur,C majeur,0.945,tonic-ending,,C major,,"The NLGB copy available on the web lacks this page. An insert gives the pitches of the melody only (F E F G, etc.). Presumably, the key signature is F major with 1 flat.",
BWV 159/5,"Jesu Leiden, Pein und Tod (I)",Eb majeur,Eb majeur,0.953,tonic-ending,,Eb major,,,
BWV 161/6,Herzlich tut mich verlangen,A mineur,A mineur,0.976,dominant-ending,,A minor,,,accord final = dominante
BWV 164/6,"Herr Christ, der einge Gottessohn (II)",Bb majeur,Bb majeur,0.977,tonic-ending,,Bb major,,,
BWV 166/6,"Wer weiß, wie nahe mir mein Ende (II)",Bb majeur,G mineur,0.993,tonic-ending,oui,G minor,,,armure/tonalite ecrite != detectee; tierce picarde finale
BWV 168/6,"Herr Jesu Christ, du höchstes Gut (II)",B mineur,B mineur,0.986,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 169/7,Nun bitten wir den Heiligen Geist (I),A majeur,A majeur,0.964,tonic-ending,,A major,,,
BWV 172/6,Wie schön leuchtet der Morgenstern (II),F majeur,F majeur,0.988,tonic-ending,,F major,,,
BWV 174/5,"Herzlich lieb hab ich dich, o Herr (I)",D majeur,D majeur,0.94,tonic-ending,,D major,,,
BWV 176/6,Was alle Weisheit in der Welt,G mineur,C mineur,0.945,tonic-ending,oui,C minor,Dorian,"C Dorian key signature. Tonally ambiguous opening, with Bb major and Eb major hinted at before a cadence to C minor.",armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 177/5,"Ich ruf zu dir, Herr Jesu Christ (I)",G mineur,G mineur,0.974,tonic-ending,oui,G minor,,"This setting appears in the Breitkopf–Riemenschneider in E minor, a m3 lower.",tierce picarde finale
BWV 179/6,"Ich armer Mensch, ich armer Sünder",A mineur,A mineur,0.932,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 180/7,"Schmücke dich, o liebe Seele",F majeur,F majeur,0.972,tonic-ending,,F major,,"This setting appears in the Breitkopf–Riemenschneider in Eb major, a M2 lower.",
BWV 183/5,Zeuch ein zu deinen Toren,A mineur,A mineur,0.992,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 184/5,"O Herre Gott, dein göttlich Wort",D majeur,D majeur,0.97,dominant-ending,,D major,,"This setting appears in the Breitkopf–Riemenschneider in G major, a P5 lower.",accord final = dominante
BWV 187/7,Singen wir aus Herzensgrund,G mineur,G mineur,0.978,tonic-ending,oui,G minor,,,tierce picarde finale
BWV 190/7,"Jesu, nun sei gepreiset (II)",D majeur,D majeur,0.919,tonic-ending,,D major,,,
BWV 194/6,"Treuer Gott, ich muss dir klagen (II)",Bb majeur,Bb majeur,0.96,tonic-ending,,,,,
BWV 194/12,"Wach auf, mein Herz, und singe",Bb majeur,Bb majeur,0.94,tonic-ending,,Bb major,,,
BWV 197/5,Nun bitten wir den Heiligen Geist (II),A majeur,A majeur,0.954,tonic-ending,,,,,
BWV 197/10,Wer nur den lieben Gott lässt walten (II),B mineur,B mineur,0.993,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 226/2,"Komm, Heiliger Geist, Herre Gott",Bb majeur,Bb majeur,0.97,tonic-ending,,Bb major,,"This setting appears in the Breitkopf–Riemenschneider in G major, a m3 lower.",
BWV 227/1,"Jesu, meine Freude (III)",E mineur,E mineur,0.989,tonic-ending,oui,,,,tierce picarde finale
BWV 227/7,"Jesu, meine Freude (IV)",E mineur,E mineur,0.962,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 244/3,Herzliebster Jesu (I),B mineur,B mineur,0.974,tonic-ending,oui,,,,tierce picarde finale
BWV 244/10,"O Welt, sieh hier dein Leben (I)",Ab majeur,Ab majeur,0.968,tonic-ending,,Ab major,,,
BWV 244/15,O Haupt voll Blut und Wunden (I),E majeur,D majeur,0.964,tonic-ending,,E major,,"This setting appears in the Breitkopf–Riemenschneider in D major, a M2 lower.",armure/tonalite ecrite != detectee
BWV 244/25,"Was mein Gott will, das g'scheh allzeit (II)",B mineur,B mineur,0.97,tonic-ending,oui,B minor,,"NLGB setting begins in E minor, ends in A minor.",tierce picarde finale
BWV 244/32,"In dich hab ich gehoffet, Herr",Bb majeur,Bb majeur,0.942,tonic-ending,,Bb major,,,
BWV 244/37,"O Welt, sieh hier dein Leben (II)",F majeur,F majeur,0.972,tonic-ending,,F major,,,
BWV 244/40,Werde munter mein Gemüte (II),F# mineur,A majeur,0.971,tonic-ending,,,,,armure/tonalite ecrite != detectee
BWV 244/44,Befiehl du deine Wege (II),D majeur,D majeur,0.949,tonic-ending,,D major,,,
BWV 244/46,Herzliebster Jesu (II),B mineur,B mineur,0.968,tonic-ending,oui,B minor,,,tierce picarde finale
BWV 244/54,O Haupt voll Blut und Wunden (II),D mineur,F majeur,0.953,tonic-ending,,F major,,,armure/tonalite ecrite != detectee
BWV 244/62,O Haupt voll Blut und Wunden (III),A mineur,A mineur,0.945,dominant-ending,,A minor,,"This setting appears in the Breitkopf–Riemenschneider in B minor, a M2 higher.",accord final = dominante
BWV 245/11,"O Welt, sieh hier dein Leben (III)",A majeur,A majeur,0.952,tonic-ending,,A major,,,
BWV 245/14,"Jesu Leiden, Pein und Tod (II)",A majeur,A majeur,0.93,tonic-ending,,A major,,Chorale begins in F# minor.,
BWV 245/15,"Christus, der uns selig macht (I)",A mineur,A mineur,0.944,dominant-ending,,A minor,,"NLGB setting begins in C major, ends in A minor.",accord final = dominante
BWV 245/17,Herzliebster Jesu (III),A mineur,A mineur,0.963,tonic-ending,oui,A minor,,,tierce picarde finale
BWV 245/22,"Durch dein Gefängnis, Gottes Sohn",E majeur,E majeur,0.928,tonic-ending,,E major,,,
BWV 245/26,Valet will ich dir geben (I),Eb majeur,Eb majeur,0.942,tonic-ending,,Eb major,,,
BWV 245/28,"Jesu Leiden, Pein und Tod (III)",A majeur,A majeur,0.962,tonic-ending,,A major,,,
BWV 245/37,"Christus, der uns selig macht (II)",C mineur,Bb mineur,0.94,dominant-ending,,Bb minor,See note,"The home key of this chorale is in Bb minor! Thus, the key signature lacks two additional flats. Bach simply writes in G and D flats. The unusual keys of Eb minor and Gb major are tonicized in this setting as well! The two other settings of this tune (BWV 245.15, 283) have “correct” key signatures. NLGB setting begins in C major, ends in A minor.",armure/tonalite ecrite != detectee; accord final = dominante; modal (ref: See note)
BWV 245/40,"Herzlich lieb hab ich dich, o Herr (II)",Eb majeur,Eb majeur,0.954,tonic-ending,,Eb major,,,
BWV 245/3a,"Herzliebster Jesu, was hast du verbrochen (I)",Bb majeur,G mineur,0.977,tonic-ending,,,,,armure/tonalite ecrite != detectee
BWV 245/3b,"Herzliebster Jesu, was hast du verbrochen (II)",Bb majeur,G mineur,0.974,tonic-ending,oui,,,,armure/tonalite ecrite != detectee; tierce picarde finale
BWV 245/5a,Vater unser im Himmelreich (I),D mineur,D mineur,0.968,tonic-ending,oui,,,,tierce picarde finale
BWV 245/5b,Vater unser im Himmelreich (II),D mineur,D mineur,0.966,tonic-ending,oui,,,,tierce picarde finale
BWV 248/5,Wie soll ich dich empfangen,A mineur,A mineur,0.982,dominant-ending,,,,,accord final = dominante
BWV 248/9,"Vom Himmel hoch, da komm ich her",D majeur,D majeur,0.96,tonic-ending,,,,,
BWV 248/12,"Ermuntre dich, mein schwacher Geist",G majeur,G majeur,0.937,tonic-ending,,G major,,,
BWV 248/23,"Wir singen dir, Immanuel",G majeur,G majeur,0.973,tonic-ending,,G major,,,
BWV 248/33,Fröhlich soll mein Herze springen,G majeur,G majeur,0.957,tonic-ending,,G major,,,
BWV 248/35,Lasst Furcht und Pein,F# mineur,F# mineur,0.979,tonic-ending,,F# minor,,,
BWV 248/42,"Hilf, Herr Jesu, lass gelingen (I)",F majeur,F majeur,0.969,tonic-ending,,F major,,,
BWV 248/46,"Nun, liebe Seel, nun ist es Zeit",A majeur,A majeur,0.937,tonic-ending,,A major,,,
BWV 248/53,"Ihr Gestirn, ihr hohlen Lüfte (I)",A majeur,A majeur,0.97,tonic-ending,,A major,,,
BWV 248/59,Ich steh an deiner Krippen hier,G majeur,G majeur,0.99,tonic-ending,,G major,,,
BWV 250,"Was Gott tut, das ist wohlgetan (III)",G majeur,G majeur,0.98,tonic-ending,,G major,,,
BWV 251,Sei Lob und Ehr dem höchsten Gut (II),G majeur,G majeur,0.959,tonic-ending,,G major,,,
BWV 252,Nun danket alle Gott (I),G majeur,G majeur,0.966,tonic-ending,,G major,,,
BWV 253,"Ach bleib bei uns, Herr Jesu Christ",A majeur,A majeur,0.963,tonic-ending,,A major,,"NLGB setting begins in E minor, ends in A minor.",
BWV 254,"Ach Gott, erhör mein Seufzen und Wehklagen",A mineur,D mineur,0.995,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 255,Ach Gott und Herr (II),C majeur,C majeur,0.943,tonic-ending,,C major,,,
BWV 256,"Ach, lieben Christen, seid getrost (II)",A mineur,A mineur,0.99,tonic-ending,oui,A minor,,The NLGB setting begins in Bb major (Lydian) and ends in G minor (Dorian).,tierce picarde finale
BWV 257,Wär Gott nicht mit uns diese Zeit (II),A mineur,A mineur,0.99,tonic-ending,oui,A minor,,The NLGB setting begins in Bb major (Lydian) and ends in G minor (Dorian).,tierce picarde finale
BWV 258,Wo Gott der Herr nicht bei uns hält,B mineur,B mineur,0.99,tonic-ending,,B minor,,The NLGB setting begins in Bb major (Lydian) and ends in G minor (Dorian).,
BWV 259,"Ach, was soll ich Sünder machen",E mineur,E mineur,0.991,tonic-ending,oui,E minor,,,tierce picarde finale
BWV 260,Allein Gott in der Höh sei Ehr,G majeur,G majeur,0.953,tonic-ending,,G major,,,
BWV 261,"Allein zu dir, Herr Jesu Christ (II)",B mineur,B mineur,0.973,tonic-ending,oui,,,,tierce picarde finale
BWV 262,Alle Menschen müssen sterben,D majeur,D majeur,0.979,tonic-ending,,D major,,,
BWV 263,Alles ist an Gottes Segen,G majeur,G majeur,0.958,tonic-ending,,G major,,,
BWV 264,Als der gütige Gott,G majeur,G majeur,0.986,tonic-ending,,G major,,,
BWV 265,Als Jesu Christus in der Nacht,A mineur,D mineur,0.972,tonic-ending,oui,D minor,Dorian,D Dorian key signature.,armure/tonalite ecrite != detectee; tierce picarde finale; modal (ref: Dorian)
BWV 266,Als vierzig Tag nach Ostern warn,E mineur,E mineur,1.0,dominant-ending,,E minor,,,accord final = dominante
BWV 267,An Wasserflüssen Babylon,G majeur,G majeur,0.945,tonic-ending,,Ab major,,"This setting appears in the Dietel Collection in Ab major, the key of Breitkopf No.5. However, Breitkopf No.308 is presented in G major.",
BWV 268,"Auf, auf, mein Herz, und du, mein ganzer Sinn",G majeur,G majeur,0.94,tonic-ending,,G major,,,
BWV 269,Aus meines Herzens Grunde,G majeur,G majeur,0.996,tonic-ending,,G major,,,
BWV 270,Befiehl du deine Wege (III),B mineur,B mineur,0.976,dominant-ending,,B minor,,,accord final = dominante
BWV 271,Befiehl du deine Wege (IV),D majeur,B mineur,0.985,dominant-ending,,B minor,,,armure/tonalite ecrite != detectee; accord final = dominante
BWV 272,Befiehl du deine Wege (V),D mineur,D mineur,0.939,tonic-ending,,D minor,,,
BWV 273,"Christ, der du bist der helle Tag",G mineur,G mineur,0.995,tonic-ending,,G minor,,,
